year,week,outbreak_starting_date,reporting_date,state,district,disease_illness_name,status,cases,deaths,unit,note
2025,16,15-04-2025,15-04-2025,Andhra Pradesh,Kakinada,Acute Diarrheal Disease,Reported,22,0,"cases in absolute number, deaths in absolute number",
2025,16,15-04-2025,17-04-2025,Assam,Biswanath,Chickenpox,Reported,1,1,"cases in absolute number, deaths in absolute number",
2025,16,19-04-2025,20-04-2025,Assam,Dhemaji,Food Poisoning,Reported,16,0,"cases in absolute number, deaths in absolute number",
2025,16,19-04-2025,19-04-2025,Bihar,Gopalganj,Fever with Rash,Reported,5,0,"cases in absolute number, deaths in absolute number",
2025,16,12-04-2025,15-04-2025,Bihar,Madhubani,Acute Diarrheal Disease,Reported,21,0,"cases in absolute number, deaths in absolute number",
2025,16,15-04-2025,16-04-2025,Bihar,Patna,Chickenpox,Reported,8,1,"cases in absolute number, deaths in absolute number",
2025,16,19-04-2025,19-04-2025,Bihar,Vaishali,Chickenpox,Reported,9,0,"cases in absolute number, deaths in absolute number",
2025,16,15-04-2025,15-04-2025,Chhattisgarh,Surguja,Food Poisoning,Reported,12,0,"cases in absolute number, deaths in absolute number",
2025,16,16-04-2025,16-04-2025,Gujarat,Narmada,Measles,Reported,17,0,"cases in absolute number, deaths in absolute number",
2025,16,18-04-2025,19-04-2025,Gujarat,Rajkot,Acute Diarrheal Disease,Reported,13,0,"cases in absolute number, deaths in absolute number",
2025,16,16-04-2025,16-04-2025,Haryana,Kurukshetra,Hepatitis A,Reported,18,0,"cases in absolute number, deaths in absolute number",
2025,16,17-04-2025,17-04-2025,Haryana,Nuh,Chickenpox,Reported,28,0,"cases in absolute number, deaths in absolute number",
2025,16,18-04-2025,19-04-2025,Jammu and Kashmir,Baramulla,Hepatitis A,Reported,26,0,"cases in absolute number, deaths in absolute number",
2025,16,16-04-2025,16-04-2025,Jammu and Kashmir,Kulgam,Typhoid,Reported,47,0,"cases in absolute number, deaths in absolute number",
2025,16,15-04-2025,16-04-2025,Jharkhand,Giridih,Chickenpox,Reported,9,0,"cases in absolute number, deaths in absolute number",
2025,16,19-04-2025,19-04-2025,Jharkhand,Lohardaga,Fever with Rash,Reported,9,0,"cases in absolute number, deaths in absolute number",
2025,16,14-04-2025,15-04-2025,Jharkhand,Sahebganj,Malaria,Reported,64,0,"cases in absolute number, deaths in absolute number",
2025,16,19-04-2025,19-04-2025,Jharkhand,Simdega,Chickenpox,Reported,6,0,"cases in absolute number, deaths in absolute number",
2025,16,18-04-2025,18-04-2025,Kerala,Ernakulam,Typhoid,Reported,12,0,"cases in absolute number, deaths in absolute number",
2025,16,18-04-2025,18-04-2025,Kerala,Kollam,Food Poisoning,Reported,67,0,"cases in absolute number, deaths in absolute number",
2025,16,18-04-2025,19-04-2025,Kerala,Palakkad,Hepatitis A,Reported,31,0,"cases in absolute number, deaths in absolute number",
2025,16,12-04-2025,16-04-2025,Kerala,Pathanamthitta,Food Poisoning,Reported,10,0,"cases in absolute number, deaths in absolute number",
2025,16,19-04-2025,19-04-2025,Kerala,Thiruvananthapuram,Food Poisoning,Reported,70,0,"cases in absolute number, deaths in absolute number",
2025,16,10-04-2025,16-04-2025,Kerala,Thrissur,Hepatitis A,Reported,29,0,"cases in absolute number, deaths in absolute number",
2025,16,14-04-2025,14-04-2025,Madhya Pradesh,Bhopal,Acute Diarrheal Disease,Reported,40,0,"cases in absolute number, deaths in absolute number",
2025,16,16-04-2025,16-04-2025,Madhya Pradesh,Datia,Chickenpox,Reported,10,0,"cases in absolute number, deaths in absolute number",
2025,16,19-04-2025,19-04-2025,Madhya Pradesh,Mandsaur,Food Poisoning,Reported,650,0,"cases in absolute number, deaths in absolute number",
2025,16,17-04-2025,17-04-2025,Madhya Pradesh,Morena,Measles,Reported,7,0,"cases in absolute number, deaths in absolute number",
2025,16,19-04-2025,19-04-2025,Madhya Pradesh,Rajgarh,Food Poisoning,Reported,5,0,"cases in absolute number, deaths in absolute number",
2025,16,16-04-2025,17-04-2025,Madhya Pradesh,Seoni,Chickenpox,Reported,13,0,"cases in absolute number, deaths in absolute number",
2025,16,17-04-2025,17-04-2025,Maharashtra,Dharashiv,Food Poisoning,Reported,122,0,"cases in absolute number, deaths in absolute number",
2025,16,15-04-2025,17-04-2025,Maharashtra,Mumbai Suburban,Acute Diarrheal Disease,Reported,17,0,"cases in absolute number, deaths in absolute number",
2025,16,17-04-2025,18-04-2025,Maharashtra,Nanded,Food Poisoning,Reported,52,0,"cases in absolute number, deaths in absolute number",
2025,16,15-04-2025,15-04-2025,Meghalaya,East Khasi Hills,Chickenpox,Reported,64,0,"cases in absolute number, deaths in absolute number",
2025,16,17-04-2025,17-04-2025,Odisha,Bhadrak,Food Poisoning,Reported,51,0,"cases in absolute number, deaths in absolute number",
2025,16,17-04-2025,19-04-2025,Tamil Nadu,Theni,Hepatitis A,Reported,10,0,"cases in absolute number, deaths in absolute number",
2025,16,19-04-2025,19-04-2025,Tamil Nadu,Tiruchirappalli,Food Poisoning,Reported,129,0,"cases in absolute number, deaths in absolute number",
2025,16,18-04-2025,18-04-2025,West Bengal,Alipurduar,Chickenpox,Reported,12,0,"cases in absolute number, deaths in absolute number",
2025,16,19-04-2025,19-04-2025,West Bengal,Purulia,Acute Diarrheal Disease,Reported,11,0,"cases in absolute number, deaths in absolute number",
2025,16,04-04-2025,,Andhra Pradesh,Tirupati,Food Poisoning,Reported Late,23,0,"cases in absolute number, deaths in absolute number",
2025,15,06-04-2025,07-04-2025,Assam,Darrang,Food Poisoning,Reported,64,0,"cases in absolute number, deaths in absolute number",
2025,15,07-04-2025,07-04-2025,Assam,Dibrugarh,Shigellosis,Reported,25,0,"cases in absolute number, deaths in absolute number",
2025,15,11-04-2025,11-04-2025,Goa,South Goa,Food Poisoning,Reported,43,0,"cases in absolute number, deaths in absolute number",
2025,15,10-04-2025,11-04-2025,Gujarat,Bhavnagar,Acute Gastroenteritis,Reported,20,0,"cases in absolute number, deaths in absolute number",
2025,15,12-04-2025,13-04-2025,Gujarat,Navsari,Food Poisoning,Reported,120,0,"cases in absolute number, deaths in absolute number",
2025,15,09-04-2025,10-04-2025,Gujarat,Surat,Acute Diarrheal Disease,Reported,118,0,"cases in absolute number, deaths in absolute number",
2025,15,12-04-2025,12-04-2025,Jammu and Kashmir,Kulgam,Hepatitis A,Reported,11,0,"cases in absolute number, deaths in absolute number",
2025,15,07-04-2025,08-04-2025,Jharkhand,Dhanbad,Chickenpox,Reported,9,0,"cases in absolute number, deaths in absolute number",
2025,15,05-04-2025,07-04-2025,Jharkhand,Godda,Measles,Reported,3,0,"cases in absolute number, deaths in absolute number",
2025,15,11-04-2025,11-04-2025,Jharkhand,Jamtara,Chickenpox,Reported,5,0,"cases in absolute number, deaths in absolute number",
2025,15,09-04-2025,09-04-2025,Jharkhand,Latehar,Scrub Typhus,Reported,26,0,"cases in absolute number, deaths in absolute number",
2025,15,09-04-2025,11-04-2025,Karnataka,Raichur,Food Poisoning,Reported,19,0,"cases in absolute number, deaths in absolute number",
2025,15,10-04-2025,10-04-2025,Kerala,Ernakulam,Typhoid,Reported,17,0,"cases in absolute number, deaths in absolute number",
2025,15,09-04-2025,10-04-2025,Kerala,Kasaragod,Hepatitis A,Reported,73,0,"cases in absolute number, deaths in absolute number",
2025,15,09-04-2025,09-04-2025,Kerala,Kasaragod,Food Poisoning,Reported,225,0,"cases in absolute number, deaths in absolute number",
2025,15,10-04-2025,10-04-2025,Kerala,Kottayam,Hepatitis A,Reported,16,0,"cases in absolute number, deaths in absolute number",
2025,15,11-04-2025,11-04-2025,Kerala,Malappuram,Food Poisoning,Reported,26,0,"cases in absolute number, deaths in absolute number",
2025,15,11-04-2025,11-04-2025,Kerala,Malappuram,Food Poisoning,Reported,18,0,"cases in absolute number, deaths in absolute number",
2025,15,09-04-2025,09-04-2025,Kerala,Palakkad,Food Poisoning,Reported,18,0,"cases in absolute number, deaths in absolute number",
2025,15,13-04-2025,13-04-2025,Madhya Pradesh,Niwari,Chickenpox,Reported,5,0,"cases in absolute number, deaths in absolute number",
2025,15,12-04-2025,13-04-2025,Madhya Pradesh,Ratlam,Acute Diarrheal Disease,Reported,15,0,"cases in absolute number, deaths in absolute number",
2025,15,07-04-2025,08-04-2025,Maharashtra,Amravati,Acute Diarrheal Disease,Reported,11,0,"cases in absolute number, deaths in absolute number",
2025,15,07-04-2025,08-04-2025,Maharashtra,Dharashiv,Chikungunya,Reported,11,0,"cases in absolute number, deaths in absolute number",
2025,15,05-04-2025,07-04-2025,Maharashtra,Gondia,Food Poisoning,Reported,60,0,"cases in absolute number, deaths in absolute number",
2025,15,10-04-2025,11-04-2025,Meghalaya,Ri Bhoi,Chickenpox,Reported,30,0,"cases in absolute number, deaths in absolute number",
