year,month,state,gender,value,unit,note
2036,October,West Bengal,Total,43964,value in Thousands,
2036,October,West Bengal,Male,22615,value in Thousands,
2036,October,West Bengal,Female,21349,value in Thousands,
2036,October,Uttarakhand,Total,5506,value in Thousands,
2036,October,Uttarakhand,Male,2922,value in Thousands,
2036,October,Uttarakhand,Female,2583,value in Thousands,
2036,October,Uttar Pradesh,Total,67511,value in Thousands,
2036,October,Uttar Pradesh,Male,35645,value in Thousands,
2036,October,Uttar Pradesh,Female,31866,value in Thousands,
2036,October,Tripura,Total,2499,value in Thousands,
2036,October,Tripura,Male,1266,value in Thousands,
2036,October,Tripura,Female,1232,value in Thousands,
2036,October,Telangana,Total,22817,value in Thousands,
2036,October,Telangana,Male,11483,value in Thousands,
2036,October,Telangana,Female,11334,value in Thousands,
2036,October,Tamil Nadu,Total,46767,value in Thousands,
2036,October,Tamil Nadu,Male,23383,value in Thousands,
2036,October,Tamil Nadu,Female,23383,value in Thousands,
2036,October,Sikkim,Total,576,value in Thousands,
2036,October,Sikkim,Male,301,value in Thousands,
2036,October,Sikkim,Female,275,value in Thousands,
2036,October,Rajasthan,Total,25950,value in Thousands,
2036,October,Rajasthan,Male,13558,value in Thousands,
2036,October,Rajasthan,Female,12392,value in Thousands,
2036,October,Punjab,Total,15329,value in Thousands,
2036,October,Punjab,Male,8175,value in Thousands,
2036,October,Punjab,Female,7153,value in Thousands,
2036,October,Puducherry,Total,1588,value in Thousands,
2036,October,Puducherry,Male,778,value in Thousands,
2036,October,Puducherry,Female,810,value in Thousands,
2036,October,Odisha,Total,10508,value in Thousands,
2036,October,Odisha,Male,5439,value in Thousands,
2036,October,Odisha,Female,5069,value in Thousands,
2036,October,Nagaland,Total,1606,value in Thousands,
2036,October,Nagaland,Male,842,value in Thousands,
2036,October,Nagaland,Female,764,value in Thousands,
2036,October,Mizoram,Total,796,value in Thousands,
2036,October,Mizoram,Male,398,value in Thousands,
2036,October,Mizoram,Female,397,value in Thousands,
2036,October,Meghalaya,Total,788,value in Thousands,
2036,October,Meghalaya,Male,394,value in Thousands,
2036,October,Meghalaya,Female,394,value in Thousands,
2036,October,Manipur,Total,1284,value in Thousands,
2036,October,Manipur,Male,634,value in Thousands,
2036,October,Manipur,Female,650,value in Thousands,
2036,October,Maharashtra,Total,71643,value in Thousands,
2036,October,Maharashtra,Male,37647,value in Thousands,
2036,October,Maharashtra,Female,33996,value in Thousands,
2036,October,Madhya Pradesh,Total,29923,value in Thousands,
2036,October,Madhya Pradesh,Male,15601,value in Thousands,
2036,October,Madhya Pradesh,Female,14322,value in Thousands,
2036,October,Lakshadweep,Total,71,value in Thousands,
2036,October,Lakshadweep,Male,37,value in Thousands,
2036,October,Lakshadweep,Female,34,value in Thousands,
2036,October,Ladakh,Total,131,value in Thousands,
2036,October,Ladakh,Male,86,value in Thousands,
2036,October,Ladakh,Female,45,value in Thousands,
2036,October,Kerala,Total,35903,value in Thousands,
2036,October,Kerala,Male,17170,value in Thousands,
2036,October,Kerala,Female,18733,value in Thousands,
2036,October,Karnataka,Total,36794,value in Thousands,
2036,October,Karnataka,Male,18744,value in Thousands,
2036,October,Karnataka,Female,18050,value in Thousands,
2036,October,Jharkhand,Total,12924,value in Thousands,
2036,October,Jharkhand,Male,6766,value in Thousands,
2036,October,Jharkhand,Female,6157,value in Thousands,
2036,October,Jammu and Kashmir,Total,5043,value in Thousands,
2036,October,Jammu and Kashmir,Male,2730,value in Thousands,
2036,October,Jammu and Kashmir,Female,2312,value in Thousands,
2036,October,Himachal Pradesh,Total,829,value in Thousands,
2036,October,Himachal Pradesh,Male,447,value in Thousands,
2036,October,Himachal Pradesh,Female,382,value in Thousands,
2036,October,Haryana,Total,17294,value in Thousands,
2036,October,Haryana,Male,9233,value in Thousands,
2036,October,Haryana,Female,8061,value in Thousands,
2036,October,Gujarat,Total,45154,value in Thousands,
2036,October,Gujarat,Male,24018,value in Thousands,
2036,October,Gujarat,Female,21136,value in Thousands,
2036,October,Goa,Total,1478,value in Thousands,
2036,October,Goa,Male,756,value in Thousands,
2036,October,Goa,Female,722,value in Thousands,
2036,October,Delhi,Total,26829,value in Thousands,
2036,October,Delhi,Male,14362,value in Thousands,
2036,October,Delhi,Female,12467,value in Thousands,
2036,October,Daman and Diu,Total,2052,value in Thousands,
2036,October,Daman and Diu,Male,1748,value in Thousands,
2036,October,Daman and Diu,Female,305,value in Thousands,
2036,October,Dadra and Nagar Haveli,Total,1428,value in Thousands,
2036,October,Dadra and Nagar Haveli,Male,849,value in Thousands,
2036,October,Dadra and Nagar Haveli,Female,579,value in Thousands,
2036,October,Chhattisgarh,Total,10773,value in Thousands,
2036,October,Chhattisgarh,Male,5507,value in Thousands,
2036,October,Chhattisgarh,Female,5265,value in Thousands,
2036,October,Chandigarh,Total,1365,value in Thousands,
2036,October,Chandigarh,Male,749,value in Thousands,
2036,October,Chandigarh,Female,616,value in Thousands,
2036,October,Bihar,Total,19923,value in Thousands,
2036,October,Bihar,Male,10513,value in Thousands,
2036,October,Bihar,Female,9409,value in Thousands,
2036,October,Assam,Total,6815,value in Thousands,
2036,October,Assam,Male,3502,value in Thousands,
2036,October,Assam,Female,3313,value in Thousands,
2036,October,Arunachal Pradesh,Total,495,value in Thousands,
